city,postal_code,hospital_name,health_authority
ABBOTSFORD,V2S 0C2,Abbotsford Regional Hospital and Cancer Centre,Fraser Health Authority
ALERT BAY,V0N 1A0,Cormorant Island Community Health Centre,Vancouver Island Health Authority
ASHCROFT,V0K 1A0,Ashcroft and District General Hospital,Interior Health Authority
BELLA  BELLA,V0T 1Z0,R.W. Large Memorial Hospital,Vancouver Coastal Health Authority
BELLA COOLA,V0T 1C0,Bella Coola General Hospital,Vancouver Coastal Health Authority
BURNABY,V5G 2X6,Burnaby Hospital,Fraser Health Authority
BURNS LAKE,V0J 1E0,Lakes District Hospital and Health Centre,Northern Health Authority
CAMPBELL RIVER,V9W 3V1,"North Island Hospital, Campbell River & District",Vancouver Island Health Authority
CASTLEGAR ,V1N 2H7,Castlegar and District Community Health Centre,Interior Health Authority
CHEMAINUS,V0R 1K1,Chemainus Health Care Centre,Vancouver Island Health Authority
CHETWYND,V0C 1J0,Chetwynd General Hospital,Northern Health Authority
CHILLIWACK,V2P 1P7,Chilliwack General Hospital,Fraser Health Authority
CLEARWATER ,V0E 1N0,Dr. Helmcken Memorial Hospital,Interior Health Authority
COMOX,V9M 1P2,St. Joseph’s General Hospital,Island Health Authority
COURTENAY,V9N 0B8,"North Island Hospital, Comox Valley",Vancouver Island Health Authority
CRANBROOK,V1C 3H9,East Kootenay Regional Hospital,Interior Health Authority
CRESTON,V0B 1G0,Creston Valley Hospital,Interior Health Authority
DAWSON CREEK,V1G 3W8,Dawson Creek and District Hospital,Northern Health Authority
DELTA,V4K 3V6,Delta Hospital,Fraser Health Authority
DUNCAN,V9L 1E5,Cowichan District Hospital,Vancouver Island Health Authority
FERNIE,V0B 1M0,Elk Valley Hospital,Interior Health Authority
FORT NELSON,V0C 1R0,Fort Nelson General Hospital,Northern Health Authority
FORT ST. JAMES,V0J 1P0,Stuart Lake Hospital,Northern Health Authority
FORT ST. JOHN ,V1J 0J5,Fort St. John General Hospital,Northern Health Authority
GOLDEN,V0A 1H0,Golden and District General Hospital,Interior Health Authority
GRAND FORKS ,V0H 1H0,Boundary Hospital,Interior Health Authority
HAZELTON PO ,V0J 1Y0,Wrinch Memorial Hospital,Northern Health Authority
HOPE,V0X 1L4,Fraser Canyon Hospital,Fraser Health Authority
INVERMERE,V0A 1K0,Invermere and District Hospital,Interior Health Authority
KAMLOOPS,V2C 2T1,Royal Inland Hospital,Interior Health Authority
KASLO,V0G 1M0,Victorian Community Health Centre of Kaslo,Interior Health Authority
KELOWNA,V1Y 1T2,Kelowna General Hospital,Interior Health Authority
KITIMAT,V8C 2S3,Kitimat General Hospital,Northern Health Authority
LADYSMITH,V9G 1A1,Ladysmith Community Health Centre,Vancouver Island Health Authority
LANGLEY,V3A 4H4,Langley Memorial Hospital,Fraser Health Authority
LILLOOET,V0K 1V0,Lillooet Hospital and Health Centre,Interior Health Authority
LYTTON,V0K 1Z0,St. Bartholomew's Health Centre,Interior Health Authority
MACKENZIE,V0J 2C0,Mackenzie and District Hospital,Northern Health Authority
MAPLE RIDGE,V2X 7G5,Ridge Meadows Hospital & Health Care Centre,Fraser Health Authority
MASSET,V0T 1M0,Northern Haida Gwaii Hospital and Health Center,Northern Health Authority
MCBRIDE,V0J 2E0,McBride and District Hospital,Northern Health Authority
MERRITT,V1K 1C6,Nicola Valley Hospital and Health Centre,Interior Health Authority
