"Hospital Location & Address, Phone, Fax","Hospital Name,
Health Authority Address",Hosp Code No.,Health Authority Telephone,Health Authority Fax
"ABBOTSFORD
32900 Marshall Road V2S 0C2
Ph: (604) 851-4700","Abbotsford Regional Hospital and Cancer Centre
Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",609,(604) 587-4600,(604) 587-4666
"ALERT BAY
49 School Rd V0N 1A0
Ph: (250) 974-5585","Cormorant Island Community Health Centre
Vancouver Island Health Authority
1952 Bay Street Victoria, BC, V8R 1J8",507,(250) 370-8699,(250) 370-8750
"ASHCROFT
700 Elm St
Box 488 V0K 1A0
Ph:  (250) 453-2211
Fax:  (250) 453-1921","Ashcroft and District General Hospital
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",408,(250) 862-4200,(250) 862-4201
"BELLA  BELLA
88 Waglisla St Bella Bella V0T 1Z0
Ph:  (250) 957-2314
Fax:  (250) 957-2612","R.W. Large Memorial Hospital Vancouver Coastal Health Authority
11th Floor – 601 W. Broadway Vancouver BC  V6Z 1Y6",904,(604) 736-2033,(604) 875-4750
"BELLA COOLA
(Mackay St) Box 220 V0T 1C0
Ph:  (250) 799-5311
Fax:  (250) 799-5635","Bella Coola General Hospital Vancouver Coastal Health Authority
11th Floor – 601 W. Broadway Vancouver BC  V6Z 1Y6",906,(604) 736-2033,(604) 875-4750
"BURNABY
3935 Kincaid St V5G 2X6
Ph:  (604) 434-4211
Fax:  (604) 412-6190","Burnaby Hospital Fraser Health Authority
Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",130,(604) 587-4600,(604) 587-4666
"BURNS LAKE
(741 Centre St)
Box 7500 V0J 1E0
Ph:  (250) 692-2400
Fax:  (250) 692-2403","Lakes District Hospital and Health Centre
Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8",707,(250) 565-2649,(250) 565-2640
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"CAMPBELL RIVER
375 - 2nd Ave V9W 3V1
Ph:  (250) 850-2141","North Island Hospital, Campbell River & District Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",508,(250) 370-8699,(250) 370-8750
"CASTLEGAR 709 - 10th St V1N 2H7
Ph:  (250) 365-7711
Fax:  (250) 365-2298","Castlegar and District Community Health Centre Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue
Kelowna, BC, V1Y 6V8",804,(250) 862-4200,(250) 862-2401
"CHEMAINUS
(9909 Esplanade St)
Box 499 V0R 1K1
Ph:  (250) 737-2040","Chemainus Health Care Centre
Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",505,(250) 370-8699,(250) 370-8750
